InvoiceNo,CustomerID,InvoiceDate,Quantity,UnitPrice,TotalSpend
INV10001,CUST1000,2023-08-05 00:00:00,2,325.95,651.9
INV10002,CUST1000,2023-04-13 00:00:00,6,252.01,1512.06
INV10002,CUST1000,2023-04-13 00:00:00,6,131.65,789.9
INV10003,CUST1000,2023-06-29 00:00:00,4,236.73,946.92
INV10003,CUST1000,2023-06-29 00:00:00,2,214.97,429.94
INV10003,CUST1000,2023-06-29 00:00:00,6,283.63,1701.78
INV10004,CUST1000,2023-06-01 00:00:00,2,145.91,291.82
INV10005,CUST1000,2023-02-12 00:00:00,2,47.62,95.24
INV10005,CUST1000,2023-02-12 00:00:00,6,94.96,569.76
INV10006,CUST1000,2023-07-09 00:00:00,6,137.8,826.8
INV10006,CUST1000,2023-07-09 00:00:00,4,96.04,384.16
INV10006,CUST1000,2023-07-09 00:00:00,1,206.76,206.76
INV10006,CUST1000,2023-07-09 00:00:00,4,139.55,558.2
INV10007,CUST1000,2023-02-20 00:00:00,4,196.33,785.32
INV10008,CUST1000,2023-08-23 00:00:00,2,125.21,250.42
INV10008,CUST1000,2023-08-23 00:00:00,10,175.82,1758.2
INV10009,CUST1000,2023-07-04 00:00:00,4,200.4,801.6
INV10009,CUST1000,2023-07-04 00:00:00,4,59.3,237.2
INV10010,CUST1000,2023-01-09 00:00:00,1,254.24,254.24
INV10010,CUST1000,2023-01-09 00:00:00,3,204.11,612.33
INV10010,CUST1000,2023-01-09 00:00:00,10,147.02,1470.2
INV10011,CUST1000,2023-01-14 00:00:00,10,158.28,1582.8
INV10012,CUST1001,2023-01-30 00:00:00,6,20.61,123.66
INV10013,CUST1001,2022-12-31 00:00:00,6,58.24,349.44
INV10013,CUST1001,2022-12-31 00:00:00,3,186.84,560.52
INV10013,CUST1001,2022-12-31 00:00:00,2,42.66,85.32
INV10013,CUST1001,2022-12-31 00:00:00,1,137.73,137.73
INV10014,CUST1002,2023-05-08 00:00:00,1,138.42,138.42
INV10014,CUST1002,2023-05-08 00:00:00,2,143.35,286.7
INV10014,CUST1002,2023-05-08 00:00:00,10,73.94,739.4
INV10015,CUST1002,2023-03-31 00:00:00,2,36.41,72.82
INV10016,CUST1002,2023-06-05 00:00:00,2,42.2,84.4
INV10016,CUST1002,2023-06-05 00:00:00,4,20.93,83.72
INV10016,CUST1002,2023-06-05 00:00:00,1,46.49,46.49
INV10016,CUST1002,2023-06-05 00:00:00,3,107.96,323.88
INV10017,CUST1003,2023-05-25 00:00:00,4,53.18,212.72
INV10018,CUST1004,2023-08-02 00:00:00,6,124.55,747.3
INV10018,CUST1004,2023-08-02 00:00:00,2,28.04,56.08
INV10018,CUST1004,2023-08-02 00:00:00,10,170.5,1705.0
INV10019,CUST1004,2023-10-18 00:00:00,1,154.41,154.41
INV10019,CUST1004,2023-10-18 00:00:00,2,192.55,385.1
INV10019,CUST1004,2023-10-18 00:00:00,1,81.51,81.51
INV10020,CUST1004,2023-01-14 00:00:00,1,189.39,189.39
INV10020,CUST1004,2023-01-14 00:00:00,3,116.49,349.47
INV10020,CUST1004,2023-01-14 00:00:00,1,98.23,98.23
INV10021,CUST1004,2023-07-16 00:00:00,1,15.48,15.48
INV10021,CUST1004,2023-07-16 00:00:00,10,138.79,1387.9
INV10021,CUST1004,2023-07-16 00:00:00,6,194.81,1168.86
INV10022,CUST1004,2023-02-06 00:00:00,6,145.05,870.3
INV10023,CUST1004,2023-04-04 00:00:00,3,57.98,173.94
INV10023,CUST1004,2023-04-04 00:00:00,10,50.28,502.8
INV10024,CUST1004,2023-10-22 00:00:00,6,123.23,739.38
INV10024,CUST1004,2023-10-22 00:00:00,10,172.71,1727.1
INV10024,CUST1004,2023-10-22 00:00:00,2,78.13,156.26
INV10025,CUST1004,2023-08-12 00:00:00,2,103.59,207.18
INV10025,CUST1004,2023-08-12 00:00:00,10,153.45,1534.5
INV10025,CUST1004,2023-08-12 00:00:00,3,68.97,206.91
INV10026,CUST1004,2023-08-30 00:00:00,6,29.07,174.42
INV10026,CUST1004,2023-08-30 00:00:00,3,86.37,259.11
INV10026,CUST1004,2023-08-30 00:00:00,6,125.81,754.86
INV10026,CUST1004,2023-08-30 00:00:00,2,159.4,318.8
INV10027,CUST1005,2023-03-19 00:00:00,2,185.4,370.8
INV10027,CUST1005,2023-03-19 00:00:00,10,175.56,1755.6
